"","Finished","consent","gender","age","residence","education","COVID_sev_general","COVID_pers_harm","COVID_pers_concern","COVID_concern4others","COVID_positive_1","COVID_positive_2","COVID_ndays_lockdown","COVID_lost_job","COVID_info_source","attention_check","app_uptake1","is_accceptable1","participant_benefit","reduce_lik_sev","return_activ_mild","return_activ_sev","reduce_spread_mild","reduce_spread_severe","ability_mild","decline_participate","proportionality","sensitivity","risk_of_harm","trust_intentions","trust_respectprivacy","data_security","ongoing_control","app_uptake2","sunset_app","data_local","is_acceptable2","sunset","opt_out","fm_unres_best","fm_limited","lim_gov","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","scenario_type"
"915",1,5,1,53,5,1,3,2,2,2,0,1,14,0,"1,3,4,5",1,1,NA,2,NA,4,NA,4,NA,5,5,4,4,2,4,5,4,3,1,NA,NA,NA,NA,NA,5,5,5,2,2,3,2,2,1,"mild"
"916",1,5,1,68,6,2,1,2,1,1,0,0,1,0,"1",1,0,NA,1,NA,1,NA,1,NA,1,2,1,6,6,1,1,1,1,0,0,0,NA,NA,NA,1,7,7,4,4,4,4,4,1,"mild"
"917",1,5,1,64,7,3,4,3,3,4,0,0,0,0,"1,3,5",1,NA,1,NA,3,NA,4,NA,4,NA,2,3,5,3,3,2,2,1,NA,NA,NA,0,1,0,6,6,4,2,3,2,3,2,3,"severe"
"918",1,5,1,67,1,1,4,4,5,5,0,0,NA,0,"5",1,NA,0,NA,2,NA,3,NA,3,NA,1,4,5,4,3,2,3,2,NA,NA,NA,0,1,1,7,4,7,2,2,3,4,4,2,"severe"
"919",1,5,1,56,1,2,3,3,1,2,0,0,20,0,"5",1,1,NA,4,NA,2,NA,4,NA,3,6,5,3,1,5,5,5,5,1,NA,NA,NA,NA,NA,5,6,4,4,2,2,3,3,3,"mild"
"920",1,5,1,66,1,1,4,5,4,4,0,0,0,0,"1,3,4,5",1,NA,0,NA,4,NA,3,NA,3,NA,1,1,6,5,1,1,1,1,NA,NA,NA,0,0,1,6,5,7,4,4,4,4,4,3,"severe"
"921",1,5,1,66,7,2,2,2,2,2,0,0,15,0,"1,2,3,4,5,6",1,NA,0,NA,1,NA,1,NA,1,NA,2,1,6,6,1,1,1,1,NA,NA,NA,0,0,0,7,7,7,3,4,4,4,4,4,"severe"
"922",1,5,1,53,3,1,5,2,5,5,1,1,21,0,"1,5",4,NA,1,NA,6,NA,6,NA,6,NA,1,6,6,6,6,6,6,6,NA,NA,NA,1,NA,NA,7,7,7,1,1,1,1,1,1,"severe"
"923",1,5,1,72,1,1,4,5,4,4,0,0,0,0,"1,4,5",3,1,NA,5,NA,5,NA,5,NA,5,6,6,5,2,6,6,5,4,1,NA,NA,NA,NA,NA,7,4,4,3,1,2,2,2,2,"mild"
"924",1,5,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"925",1,5,2,24,2,2,3,1,2,2,0,0,2,0,"2,5",1,0,NA,3,NA,3,NA,3,NA,3,5,3,2,4,1,1,1,1,0,0,0,NA,NA,NA,4,4,5,2,4,4,4,4,4,"mild"
"926",1,5,1,18,7,2,5,3,4,4,0,1,NA,0,"1,2,3,4,5",1,NA,0,NA,3,NA,2,NA,3,NA,3,3,4,4,4,4,4,3,NA,NA,NA,0,1,1,3,3,4,2,2,2,2,2,2,"severe"
"927",1,5,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"928",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"929",1,5,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"930",1,5,2,61,2,3,3,3,4,2,0,1,10,1,"2",1,NA,1,NA,2,NA,3,NA,3,NA,4,3,3,3,4,4,5,4,NA,NA,NA,1,NA,NA,3,5,5,2,2,1,2,2,2,"severe"
"931",1,5,1,22,4,1,1,2,2,1,1,1,10,1,"1",4,NA,1,NA,1,NA,1,NA,1,NA,6,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,1,2,1,1,2,4,1,3,"severe"
"932",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"933",1,5,1,89,5,5,3,3,2,4,0,0,0,0,"5",3,0,NA,1,NA,2,NA,2,NA,2,3,3,3,3,3,3,3,3,0,1,0,NA,NA,NA,4,4,4,2,2,2,2,2,2,"mild"
"934",1,5,1,18,2,5,5,5,4,5,1,0,NA,0,"2",3,1,NA,6,NA,6,NA,6,NA,6,1,6,6,6,6,6,6,6,1,NA,NA,NA,NA,NA,4,7,7,NA,NA,NA,NA,NA,NA,"mild"
"935",1,5,1,24,3,3,4,4,3,3,0,1,4,0,"3",1,NA,1,NA,4,NA,3,NA,4,NA,3,4,4,5,5,3,4,4,NA,NA,NA,1,NA,NA,4,5,5,2,3,3,2,1,1,"severe"
