"","duration","Finished","consent","gender","age","residence","education","smartphoneuse","COVID_pos","COVID_pos_others","COVID_probability_1","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_lost_job","COVID_info_source_1","COVID_info_source_2","COVID_info_source_3","COVID_info_source_4","COVID_info_source_5","COVID_info_source_6","COVID_info_source_7","COVID_info_trust_1","COVID_info_trust_2","COVID_info_trust_3","COVID_info_trust_4","COVID_info_trust_5","COVID_info_trust_6","Gov_understand","Gov_helpful","COVID_govresponse_1","COVID_govresponse_2","COVID_govresponse_3","COVID_govresponse_4","COVID_govresponse_5","COVID_govresponse_6","COVID_govresponse_7","COVID_govresponse_8","COVID_govresponse_9","COVID_govresponse_10","COVID_govresponse_11","COVID_govresponse_12","COVID_govresponse_13","COVID_govresponse_14","COVID_comply_pers","ahal_abst","ahal_hyg","ahal_mask","ahal_luft","COVID_comply_percent","RKI_technology","RKI_data_access","attention_check","RKI_download","RKI_download_time","RKI_left_installed","RKI_blutooth","RKI_friends_family","RKI_deinstalled","RKI_reasons_open","RKI_reasons","RKI_future_download","RKI_reasons_not_open","RKI_reasons_not_down","COVID_test","positive_upload","reasons_noup_open","reasons_noupload","upload_fut","noup_fut_reasons_op","noupload_reasons","RKI_prevalence_app","RKI_mandatory","noupload_reasons_all","upload_other_reasons","cwa_warn","cwa_warn_understand_1","cwa_warn_understand_2","cwa_warn_understand_3","cwa_green_wastun","cwa_red_wastun","cwa_understand_open","reduce_lik_bt","return_activ_past","return_activ_fut","reduce_spread_past","reduce_spread_fut","ability_bt","decline_part_bt","proportionality_bt","sensitivity_bt","risk_of_harm_bt","trust_intentions_bt","trust_respectpriv_bt","data_security_bt","ongoing_control","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","sci_betterlives","sci_nextgenopp","Conspir_1","Conspir_2","Conspir_3","Conspir_4","Conspir_5","Conspir_6_rev","Conspir_7","free_text"
"448",1864,1,5,2,34,4,5,1,0,1,60,2,3,3,4,0,2,3,3,3,2,2,1,4,2,3,4,4,4,4,3,3,2,2,4,2,2,3,5,5,5,5,5,3,4,3,4,5,5,3,60,4,"2,4,6",1,1,4,0,NA,0,"8","Ich habe mich auf Corona testen machen lassen. Dann habe ich auf ein Ergebnis gewartet. Es hat fast eine Woche gedauert als ich gewartet habe. Dann habe ich meinen Hausarzt angerufen und mein Ergebnis zu bekommen. Mit der App hat nicht funktioniert!","6",NA,NA,NA,3,NA,NA,NA,1,NA,NA,60,0,"1,5,7",NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,2,3,4,4,3,3,6,2,5,4,2,3,2,2,3,2,4,4,3,5,6,2,4,1,2,2,4,3,NA
"449",737,1,5,2,31,5,2,1,0,0,49,4,3,3,4,0,3,3,2,4,5,5,2,3,2,2,3,4,4,2,3,1,2,2,3,3,3,3,5,4,5,5,3,4,4,2,4,4,5,5,60,1,"1,2",1,2,NA,NA,NA,NA,NA,NA,NA,0,"Weil sie nicht funktioniert und ich eh nicht raus gehe. Ubd dauerhaft bluetooth anhaben, will ich auch nicht","3,4,5",NA,NA,NA,NA,NA,NA,NA,25,0,"1,5,7",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,6,1,1,2,2,1,2,3,4,4,3,4,2,4,4,4,6,5,5,1,2,1,4,2,2,2,NA
"450",742,1,5,2,42,2,1,1,0,1,58,1,4,4,3,1,5,1,2,1,3,2,1,3,1,2,1,4,4,3,3,4,4,3,4,5,4,3,4,3,4,4,5,4,5,1,1,2,2,2,10,1,"2",4,1,1,1,1,1,NA,"Ja ","3",NA,NA,NA,1,NA,NA,NA,2,"Ok ","1",0,1,"8","0",1,1,1,2,"1","1","1",1,3,3,3,3,3,3,3,3,5,3,3,3,3,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,"Ja "
"451",350,1,5,1,26,3,2,1,0,1,59,2,2,2,2,1,2,2,2,2,3,3,3,4,3,2,3,3,4,2,2,3,4,2,4,2,4,3,2,3,3,4,3,3,3,2,3,2,3,4,60,4,"4",4,2,NA,NA,NA,NA,NA,NA,NA,0,"Daten ","2",NA,NA,NA,NA,NA,NA,NA,40,0,"4",NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,4,3,4,5,5,3,3,3,3,1,3,3,1,3,2,4,7,7,6,5,4,4,3,4,4,3,4,NA
"452",665,1,5,2,32,1,2,1,0,0,30,1,4,3,4,0,1,3,4,3,2,2,2,2,2,4,2,2,2,3,2,3,2,3,3,3,3,3,3,2,3,2,3,2,3,2,3,4,5,3,60,3,"7",1,2,NA,NA,NA,NA,NA,NA,NA,0,"Weil ich nicht preisgeben mï¿½ï¿½chte wo ich mich aufhalte","1,4,6,9",NA,NA,NA,NA,NA,NA,NA,30,0,"1,2",NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,6,1,6,6,1,1,6,6,4,4,4,4,4,4,3,5,4,4,5,2,3,1,3,2,4,2,NA
"453",777,1,5,2,18,5,2,1,0,1,67,1,4,2,2,0,1,3,4,2,4,1,1,4,3,4,4,5,3,4,2,2,3,2,2,3,3,2,4,3,3,4,5,2,2,1,3,4,5,4,45,2,"4,6",1,2,NA,NA,NA,NA,NA,NA,NA,0,"weil ich die app unnï¿½ï¿½tig finde und das nur eibr spionasche","1,4,5,6,9",NA,NA,NA,NA,NA,NA,NA,56,0,"4,5,7",NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,6,3,5,4,2,1,2,3,4,4,4,4,2,3,3,5,2,4,4,2,4,3,4,3,4,3,NA
"454",2685,1,5,1,34,5,5,1,0,1,24,4,5,4,5,0,4,3,4,4,4,3,1,4,2,4,3,4,4,4,3,3,3,2,4,3,2,4,5,5,5,5,4,4,5,2,4,5,5,4,80,1,"2",4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,30,0,"1,7","Die App nï¿½ï¿½tzt nic",NA,NA,NA,NA,NA,NA,"Die App ist zu freiwillig.... wer seine Infektion nicht meldet wird die erfassdt",3,2,3,3,3,5,5,3,4,4,3,2,5,4,4,2,2,4,1,2,6,5,4,5,5,1,2,1,1,1,5,1,NA
"455",1113,1,5,2,60,6,2,1,0,0,10,2,3,1,1,0,4,2,3,4,4,3,1,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,4,4,4,4,3,3,4,2,5,5,5,5,80,4,"7",1,2,NA,NA,NA,NA,NA,NA,NA,0,"weiï¿½ï¿½ nicht wie es ","11",NA,NA,NA,NA,NA,NA,NA,25,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,3,6,1,2,4,2,2,2,1,3,3,4,3,4,3,4,4,6,5,5,3,3,3,3,3,4,3,NA
"456",6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457",1181,1,5,1,55,2,1,1,0,1,9,2,3,1,2,0,1,2,1,4,3,3,1,3,2,2,4,3,5,4,3,3,5,2,4,2,4,4,5,4,5,5,3,2,4,2,5,5,5,4,50,2,"1,7",1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,40,0,"1,2,3,4,7",NA,NA,NA,NA,NA,NA,NA,"Noch nicht Installiert",3,2,3,3,3,4,5,3,4,2,5,4,5,4,3,2,4,2,1,1,5,6,3,2,6,1,1,1,5,4,4,2,"Nein "
