"","Finished","consent","gender","age","residence","education","smartphoneuse","mobileuse_sev","COVID_pos","COVID_pos_others","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_ndays_lockdown","COVID_lost_job","COVID_info_source","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_comply_percent","COVID_comply_pers","attention_check","att_check_bt","bluetooth_uptake1_bt","app_uptake1","is_accceptable1","perc_pop_use_bt","perc_pop_use_mild","reduce_lik_bt","reduce_lik_mild","reduce_lik_sev","return_activ_bt","return_activ_mild","return_activ_sev","reduce_spread_bt","reduce_spread_mild","reduce_spread_severe","ability_mild","ability_bt","decline_participate","decline_part_bt","proportionality","proportionality_bt","sensitivity","sensitivity_bt","risk_of_harm","risk_of_harm_bt","trust_intentions","trust_intentions_bt","trust_respectprivacy","trust_respectpriv_bt","data_security","data_security_bt","ongoing_control","bluetooth_uptake2_bt","change_sunset_bt","app_uptake2","sunset_app","data_local","is_acceptable2","sunset","opt_out","ip_support1","ip_concerned","ip_like","ip_harm_soc","ip_fair","ip_infect_self","ip_support2","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","scenario_type"
"409",1,5,1,18,1,2,1,NA,0,0,3,2,2,2,4,0,"2,5",2090,4633,3333,10847,1582,678,11525,18220,3220,60,4,1,NA,NA,0,NA,NA,30,NA,4,NA,NA,3,NA,NA,4,NA,5,NA,4,NA,5,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1,NA,NA,0,1,1,NA,NA,NA,2,3,1,4,3,4,2,3,4,5,3,4,3,3,2,3,"mild"
"410",1,5,1,43,5,1,1,NA,0,0,1,5,1,5,20,0,"2,5",3380,20493,4718,16761,6972,7676,8662,18944,16761,80,5,1,NA,NA,1,NA,NA,80,NA,4,NA,NA,3,NA,NA,3,NA,3,NA,4,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,4,2,3,3,5,4,3,3,3,1,2,2,2,2,2,2,"mild"
"411",1,5,2,26,1,3,1,NA,0,1,2,4,2,5,12,0,"1,2,3,5",5645,13710,10000,18065,10323,5000,16774,22581,8226,75,5,1,NA,NA,1,NA,NA,40,NA,4,NA,NA,3,NA,NA,2,NA,4,NA,2,NA,5,NA,6,NA,5,NA,5,NA,4,NA,5,NA,2,NA,NA,1,NA,NA,NA,NA,NA,5,2,5,2,2,4,4,6,5,1,3,2,2,4,1,2,"mild"
"412",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mild"
"413",1,5,2,27,7,2,1,NA,0,0,4,4,5,4,10,0,"1,2",2244,50000,3273,50000,4467,33779,14224,50000,8049,80,7,1,NA,NA,1,NA,NA,60,NA,4,NA,NA,3,NA,NA,4,NA,4,NA,6,NA,4,NA,5,NA,2,NA,4,NA,5,NA,5,NA,5,NA,NA,1,NA,NA,NA,NA,NA,5,2,4,5,3,1,5,3,6,2,2,1,1,2,3,1,"mild"
"414",1,5,2,36,5,2,NA,1,0,0,1,1,1,1,50,0,"1,2,3,4,5,6",12851,50000,4151,36397,40596,35748,50000,50000,50000,59,2,4,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,3,NA,4,NA,3,NA,3,NA,4,NA,4,NA,3,NA,5,NA,NA,NA,NA,NA,0,1,0,4,3,4,4,4,5,5,4,4,4,1,1,3,2,3,2,"severe"
"415",1,5,1,36,7,2,1,NA,0,0,2,4,4,4,5,1,"1",6129,11452,4032,14032,3226,7742,12097,19839,10484,80,5,3,NA,NA,1,NA,NA,75,NA,3,NA,NA,5,NA,NA,4,NA,4,NA,4,NA,3,NA,4,NA,2,NA,3,NA,4,NA,6,NA,2,NA,NA,1,NA,NA,NA,NA,NA,6,3,3,5,3,1,3,3,5,3,1,2,2,2,2,2,"mild"
"416",1,5,2,18,3,3,1,NA,0,0,3,3,3,4,30,0,"3,5",2097,15000,4355,13548,4839,2419,10161,31613,6129,80,6,NA,1,1,NA,NA,50,NA,2,NA,NA,5,NA,NA,3,NA,NA,NA,5,NA,4,NA,3,NA,5,NA,4,NA,3,NA,3,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,5,1,4,3,4,1,2,4,5,6,1,3,3,2,1,2,"bluetooth"
"417",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"418",1,5,1,21,2,2,1,NA,0,0,2,4,2,2,5,1,"5",19484,40688,13181,46848,26791,14756,23926,36676,26218,20,8,NA,1,1,NA,NA,30,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,6,NA,4,NA,3,NA,4,NA,4,NA,3,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,5,3,4,4,3,1,1,1,1,2,4,"bluetooth"
