"","Finished","consent","gender","age","residence","education","smartphoneuse","COVID_pos","COVID_pos_others","COVID_probability_1","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_lost_job","COVID_info_source_1","COVID_info_source_2","COVID_info_source_3","COVID_info_source_4","COVID_info_source_5","COVID_info_source_6","COVID_info_source_7","COVID_info_trust_1","COVID_info_trust_2","COVID_info_trust_3","COVID_info_trust_4","COVID_info_trust_5","COVID_info_trust_6","Gov_understand","Gov_helpful","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_govresponse_1","COVID_govresponse_2","COVID_govresponse_3","COVID_govresponse_4","COVID_govresponse_5","COVID_govresponse_6","COVID_govresponse_7","COVID_govresponse_8","COVID_govresponse_9","COVID_comply_percent","COVID_comply_pers","RKI_technology","RKI_data_access","attention_check","RKI_download","RKI_download_time","RKI_left_installed","RKI_deinstalled","RKI_blutooth","RKI_upload","RKI_reasons","RKI_friends_family","RKI_future_download","RKI_reasons_not_down","RKI_prevalence_app_1","RKI_mandatory","reduce_lik_bt","return_activ_past","return_activ_fut","reduce_spread_past","reduce_spread_fut","ability_bt","decline_part_bt","proportionality_bt","sensitivity_bt","risk_of_harm_bt","trust_intentions_bt","trust_respectpriv_bt","data_security_bt","ongoing_control","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","sci_betterlives","sci_nextgenopp","Conspir_1","Conspir_2","Conspir_3","Conspir_4_REV","Conspir_5","Conspir_covid"
"229",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",1,5,2,18,1,3,1,0,0,0,1,1,1,1,1,1,2,2,1,1,1,4,1,4,4,1,1,1,3,1,0,0,0,0,0,0,0,0,0,3,1,5,5,3,3,4,5,5,90,1,1,"1,4,2,3,5,6,7",1,2,NA,NA,"",NA,NA,"",NA,0,"1,2,4,5,6,9",25,0,1,1,1,1,1,1,4,1,5,6,1,1,1,1,4,4,4,4,4,4,6,6,7,2,5,7,7,7,1,7,7
"231",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",1,5,2,23,5,2,1,0,0,30,1,3,1,2,0,4,3,3,4,4,5,3,4,3,3,4,4,5,4,3,61408,96901,10141,77465,120282,117746,115775,152958,55211,2,4,3,3,3,3,4,5,3,20,3,1,"8",1,2,NA,NA,"",NA,NA,"",NA,0,"2,3,4,5,6",40,0,2,1,1,3,2,5,5,5,5,4,5,5,4,3,2,3,3,4,4,2,6,5,6,6,6,2,2,2,2,2,2
"233",1,5,2,18,2,2,1,0,0,8,1,3,2,4,0,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,110602,200000,38968,167335,200000,200000,136390,200000,65903,3,3,4,3,4,4,3,5,3,80,4,4,"2",1,2,NA,NA,"",NA,NA,"",NA,0,"1,2,4,5,9",32,0,2,1,2,1,2,5,5,1,2,6,2,1,2,2,4,4,4,3,2,3,4,3,3,4,5,7,6,7,5,6,7
"234",1,5,1,67,4,5,1,0,0,32,4,3,3,4,0,3,1,3,3,4,4,3,4,1,2,3,3,3,3,4,50986,32958,18592,62817,16056,19155,83944,174366,70423,3,2,2,2,2,2,3,4,4,50,4,1,"3",1,2,NA,NA,"",NA,NA,"",NA,1,"",31,0,2,1,3,1,2,2,5,5,3,4,4,3,4,5,4,3,2,4,3,4,5,7,6,5,6,1,1,1,7,1,1
"235",1,5,1,19,7,2,1,0,0,0,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,44520,50621,68701,37288,27571,82260,53333,45198,38418,2,2,3,3,3,3,3,3,3,25,9,1,"1,4,2,3,5,6,7,8",2,1,1,1,"",1,NA,"2",1,NA,"",0,1,1,2,3,1,2,2,4,3,3,3,3,3,4,4,2,2,2,2,2,2,4,4,4,3,4,4,3,4,4,4,4
"236",1,5,1,32,4,3,1,0,1,56,3,3,4,4,1,1,3,4,3,3,1,4,3,4,3,3,1,2,2,4,1290,12258,7742,22581,7097,3871,5806,200000,3871,3,1,2,4,4,2,4,1,4,90,9,1,"2",2,1,1,0,"3",NA,NA,"3",1,NA,"",29,1,3,5,4,3,5,6,5,5,4,3,1,3,2,5,1,2,3,2,1,1,4,3,6,3,4,2,5,3,5,4,6
"237",1,5,2,20,2,2,1,0,0,25,2,3,4,2,0,2,3,4,5,4,2,2,3,4,5,5,5,1,3,2,65903,60172,57880,51003,49284,46991,85960,30372,61891,3,4,5,1,1,2,2,4,4,60,5,2,"3",1,2,NA,NA,"",NA,NA,"",NA,1,"",68,1,3,4,5,3,3,2,3,1,5,4,3,3,2,5,2,3,3,3,2,3,4,2,6,4,2,5,5,5,3,5,2
"238",1,5,2,20,3,3,1,0,0,80,3,5,4,5,0,5,4,3,1,1,3,1,5,3,3,1,1,5,3,2,10315,89398,9169,81375,13754,4011,20057,100860,8596,2,4,3,4,3,3,4,5,4,20,5,1,"2",1,1,3,1,"",3,1,"4,5",0,NA,"",19,1,2,1,2,2,2,3,4,3,5,1,3,2,3,1,1,2,3,3,1,2,5,4,3,1,6,7,6,6,3,5,1
"239",1,5,2,19,1,3,1,0,0,43,3,4,4,5,0,2,4,4,5,4,5,3,4,3,4,5,5,5,5,4,19355,32903,13548,25806,1935,4516,20000,36774,16129,2,1,3,3,2,2,3,3,3,20,8,1,"2",1,2,NA,NA,"",NA,NA,"",NA,1,"",47,1,5,5,5,4,4,6,4,5,5,2,6,6,6,5,1,2,1,1,1,1,4,4,3,5,6,4,4,4,5,7,4
"240",1,5,1,20,6,3,1,0,0,30,2,4,4,4,0,4,4,4,1,3,3,4,4,4,4,1,4,4,4,4,65537,200000,10621,200000,34124,2486,175819,200000,85424,4,1,2,5,3,1,5,5,5,80,2,2,"3",2,2,NA,NA,"",NA,NA,"",NA,1,"",68,1,4,4,4,4,5,4,3,4,4,4,4,4,4,5,3,2,2,2,2,3,4,3,5,5,5,6,5,5,5,3,3
"241",1,5,1,21,7,3,1,0,1,20,3,4,2,3,0,2,2,4,5,5,2,4,2,4,5,2,1,5,5,3,8680,163601,105985,143484,63573,191610,116990,104168,200000,2,2,5,1,4,2,3,4,3,2.5,5,3,"4",3,1,1,0,"5",NA,NA,"3",1,NA,"",46,1,4,4,3,5,3,4,4,3,4,1,3,4,6,1,2,4,2,1,4,2,6,4,1,7,4,2,4,6,3,7,3
"242",1,5,1,23,1,3,1,0,0,12,2,1,1,1,0,1,4,3,3,3,2,3,3,3,2,3,3,3,2,3,56734,55014,40688,75072,24642,29799,60745,141547,33238,3,3,3,3,3,1,4,4,3,95,5,1,"2",1,1,2,1,"",1,1,"2",0,NA,"",55,1,3,2,4,4,4,3,3,4,2,1,4,4,4,4,2,2,3,2,2,2,7,3,7,7,7,1,1,1,7,1,1
"243",1,5,1,22,5,2,1,0,0,50,4,1,2,4,1,2,4,5,2,2,4,4,4,4,4,4,4,4,4,5,32001,110345,9778,10766,57000,42659,53259,60825,60767,2,3,1,3,3,3,3,3,3,75,5,1,"2,3",1,1,1,0,"1",NA,NA,"2",1,NA,"",100,1,5,1,3,3,3,3,5,5,4,4,6,5,6,6,1,1,2,2,1,1,6,6,6,6,6,6,6,6,6,6,6
"244",1,5,1,21,3,2,1,0,1,20,4,4,5,2,1,2,4,1,2,4,2,2,1,1,1,3,2,2,1,4,40645,61935,43226,62581,92903,168387,113548,88387,60000,1,2,2,4,3,3,2,3,3,19,1,1,"1,4,2",3,1,1,1,"",1,1,"1",1,NA,"",15,1,4,3,3,2,4,5,3,3,3,4,5,5,5,2,2,3,1,2,3,1,3,5,6,6,7,5,5,6,7,7,6
"245",1,5,2,24,2,3,1,0,1,29,3,4,4,5,0,3,2,3,4,5,5,5,3,2,3,4,5,5,4,3,1935,5161,1935,5806,645,1290,4516,5161,1935,3,4,2,2,3,3,4,5,4,70,5,2,"5",1,2,NA,NA,"",NA,NA,"",NA,1,"",35,1,4,3,5,3,4,5,5,5,6,2,5,5,6,6,2,3,3,3,1,3,5,2,4,5,5,6,6,5,4,6,5
"246",1,5,1,18,1,1,1,0,1,24,3,3,2,2,0,1,2,3,1,2,2,2,1,3,3,1,3,2,2,2,97611,160926,94782,172781,80717,158073,60984,172610,91999,3,2,3,3,2,4,3,2,4,45,2,2,"1,5",3,2,NA,NA,"",NA,NA,"",NA,1,"",37,1,2,3,2,3,3,4,4,3,4,4,5,3,4,4,2,3,3,1,2,1,3,2,3,2,3,2,4,3,3,4,2
"247",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",1,5,2,21,2,3,1,0,1,2,4,4,3,4,0,3,5,5,1,2,3,3,2,2,2,2,2,2,3,2,94556,130086,93410,155874,45845,68768,139828,146132,124355,3,3,2,4,3,3,3,3,3,70,4,4,"8",1,2,NA,NA,"",NA,NA,"",NA,1,"",38,1,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,1,1,2,2,3,3,3,5,5,5,5,5,5,5,5
"249",1,5,1,30,4,3,1,0,0,32,1,4,3,4,0,5,5,5,3,5,5,1,4,4,3,5,5,5,5,2,48673,96431,29195,117934,45602,68072,85103,149033,49194,3,2,4,3,4,2,3,5,3,20,4,1,"4,2,7",1,1,2,1,"",1,1,"2,3,5",1,NA,"",76,1,4,3,4,3,4,5,4,5,5,4,5,4,5,4,1,2,2,2,3,2,6,5,3,7,7,6,6,6,6,6,3
"250",1,5,2,65,2,2,1,0,0,10,3,3,3,2,0,3,2,2,1,3,2,1,2,1,2,2,3,3,2,2,47006,84972,25763,55367,54011,77740,56497,106893,41130,3,3,2,3,3,3,4,5,4,65,5,1,"1,2",1,2,NA,NA,"",NA,NA,"",NA,0,"1,9",47,0,3,2,2,3,2,3,4,4,3,3,3,3,4,3,2,3,3,2,3,3,4,4,5,3,3,2,2,3,6,6,2
"251",1,5,2,20,2,3,1,0,0,29,2,3,4,5,0,2,4,3,2,4,4,3,2,3,2,4,4,5,4,4,15233,30357,5424,19840,15613,10171,14166,48497,34661,3,2,2,4,3,2,3,5,5,90,5,1,"8",1,1,2,1,"",2,1,"3",0,NA,"",40,1,3,2,3,3,3,4,3,3,3,3,4,4,2,3,4,4,3,4,2,3,4,4,5,5,5,6,6,6,5,6,4
"252",1,5,2,20,5,2,1,0,0,30,1,3,1,1,0,3,3,2,2,2,2,1,4,3,3,4,4,3,2,1,12034,42980,12607,28080,26361,24642,42980,47564,42980,3,4,4,4,3,4,3,4,4,56,3,2,"2,6",1,2,NA,NA,"",NA,NA,"",NA,0,"1,5",67,0,3,1,3,3,3,2,4,5,5,3,3,3,4,3,4,4,4,4,4,4,4,6,5,2,6,7,2,3,3,2,7
"253",1,5,2,21,5,1,1,0,0,0,1,5,5,5,1,2,5,5,3,5,5,4,4,3,2,4,5,4,4,4,61017,30374,42260,54011,28249,18531,45660,108023,51299,1,1,2,2,2,2,2,4,2,30,5,1,"2",1,1,3,1,"",1,1,"3",1,NA,"",50,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
"254",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",1,5,2,19,5,2,1,1,1,NA,NA,4,NA,3,0,3,4,2,3,3,3,3,4,3,3,4,4,3,3,3,103725,145559,56160,108309,85960,159312,135817,174212,145559,3,2,2,3,3,3,4,4,3,30,3,2,"6",1,1,1,1,"",3,1,"4",1,NA,"",40,1,3,2,2,2,2,4,4,3,3,3,3,2,3,4,2,2,1,2,3,1,5,4,6,5,6,5,5,6,5,5,7
"256",1,5,2,18,2,3,1,0,1,11,2,4,2,2,0,2,4,3,2,1,3,2,4,4,3,4,4,4,4,4,116494,99734,124368,109134,105349,74810,101445,93192,92381,3,4,2,2,4,4,3,2,2,70,4,4,"2,7",4,2,NA,NA,"",NA,NA,"",NA,1,"",66,0,2,1,3,2,2,5,5,3,4,3,5,4,2,4,2,4,2,3,2,2,3,4,3,2,3,3,4,4,3,3,5
"257",1,5,2,18,2,3,1,0,1,40,2,4,2,4,0,1,3,5,3,1,3,1,4,4,5,4,4,4,3,3,154728,75072,173066,200000,127794,88825,122636,200000,159312,4,4,3,4,4,3,3,5,4,59,5,1,"4",3,2,NA,NA,"",NA,NA,"",NA,0,"1",42,0,1,5,3,3,3,4,3,5,4,3,4,6,4,5,3,3,3,3,4,3,4,6,5,3,4,5,3,2,4,4,3
"258",1,5,2,23,3,3,1,0,0,23,4,3,2,4,1,2,2,1,1,1,4,1,2,1,1,1,3,4,4,2,0,5763,51525,102373,21695,21695,147119,200000,181017,2,1,4,5,2,1,4,5,5,15,7,2,"2",1,2,NA,NA,"",NA,NA,"",NA,1,"",9,1,4,1,3,3,4,2,4,3,1,1,6,6,6,3,4,2,3,4,1,3,1,5,1,4,5,7,6,6,1,4,1
"259",1,5,1,22,2,3,1,0,0,24,2,3,2,4,0,3,3,1,2,4,5,1,3,1,2,5,3,5,2,4,55885,97419,5922,132311,52385,14116,124347,200000,109139,3,3,1,4,4,1,5,5,5,10,7,1,"2",1,1,2,1,"",1,1,"4",1,NA,"",28,0,4,3,4,3,4,2,6,6,3,1,6,6,6,1,1,3,1,3,1,1,7,4,7,4,7,1,2,4,7,1,1
"260",1,5,1,24,3,5,1,0,0,5,2,2,1,2,0,4,1,3,2,2,2,1,3,2,3,2,2,3,2,2,10968,95484,2581,200000,13548,18065,51613,200000,12903,2,4,5,3,3,2,4,4,4,30,4,1,"2,5",4,1,2,1,"",2,1,"3",1,NA,"",81,0,3,1,2,2,4,5,4,4,4,2,3,4,5,3,3,4,4,3,4,4,6,2,7,5,6,6,4,5,5,3,5
"261",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",1,5,2,23,7,5,1,0,0,38,2,4,3,2,0,2,4,3,3,2,3,4,2,3,4,5,4,3,4,4,5161,18065,17419,2581,31613,43226,50968,36774,59355,3,3,2,5,1,1,5,4,4,60,5,1,"8",1,2,NA,NA,"",NA,NA,"",NA,0,"4",37,0,2,3,4,3,5,2,3,3,4,2,4,3,4,5,3,3,3,2,3,3,4,5,3,5,5,4,4,3,6,2,4
"263",1,5,2,23,5,2,1,0,1,50,1,4,2,3,0,3,1,2,2,2,3,1,2,1,2,2,3,5,4,2,63037,123209,20057,44126,114613,134097,40688,136963,63037,3,4,2,3,4,5,3,5,3,40,4,2,"1,4,2,5,6,7",1,2,NA,NA,"",NA,NA,"",NA,0,"1,2,4,5,6,9",35,0,3,1,3,3,2,4,6,1,5,2,1,1,3,5,3,4,2,4,4,4,3,6,7,4,3,5,6,6,2,7,6
"264",1,5,1,24,1,3,1,0,0,8,3,3,2,2,1,1,3,3,3,5,4,3,3,3,3,3,3,3,3,3,1972,42535,845,17183,1972,1972,1972,72676,44225,3,4,1,4,3,3,4,5,5,80,4,2,"1",2,2,NA,NA,"",NA,NA,"",NA,0,"1",21,0,2,1,1,2,3,3,4,2,3,3,2,4,1,2,2,2,1,3,2,2,6,6,4,5,4,5,5,4,4,4,4
"265",1,5,2,24,5,5,1,0,1,8,5,3,3,4,1,1,5,4,3,1,2,2,4,3,3,4,4,5,4,4,67742,20645,26452,74194,40000,47742,70323,200000,142581,5,2,3,4,2,3,4,5,5,80,5,2,"1,6,7",1,2,NA,NA,"",NA,NA,"",NA,1,"",40,0,4,2,4,4,3,4,4,4,5,4,5,4,3,3,2,3,1,4,2,1,5,4,2,5,6,5,6,4,5,2,6
"266",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",1,5,2,24,1,5,1,0,1,20,3,4,3,4,1,3,3,3,1,1,4,1,4,3,4,2,3,5,3,3,7742,57419,14839,63226,20645,15484,32258,92258,16774,3,2,2,4,3,3,4,5,3,20,4,1,"8",1,1,3,0,"3",NA,NA,"2,3,4",0,NA,"",31,0,2,2,1,2,2,3,4,5,4,3,4,5,3,4,4,2,3,4,2,2,4,3,4,6,6,4,4,5,3,4,3
"268",1,5,2,21,1,2,1,0,1,49,5,5,4,4,0,2,1,3,2,1,5,1,2,1,4,2,1,3,4,1,14327,139828,16619,85960,65330,124355,31519,60745,22350,3,3,4,4,2,2,3,4,2,18,5,4,"8",1,2,NA,NA,"",NA,NA,"",NA,1,"",15,0,3,1,3,2,2,2,5,3,5,3,2,2,2,5,3,3,4,4,4,2,6,3,3,1,1,3,3,1,6,3,1
"269",1,5,1,18,4,5,1,0,1,61,3,4,3,4,0,2,3,2,3,3,5,1,2,3,2,3,4,5,5,5,29799,118625,34384,56160,59599,62464,65903,130659,28080,3,3,1,3,3,3,4,5,3,40,7,3,"2",1,2,NA,NA,"",NA,NA,"",NA,1,"",24,0,3,4,4,3,5,2,3,1,6,4,4,5,4,4,2,2,1,4,4,1,5,5,5,6,5,6,3,5,3,4,3
"270",1,5,1,18,1,2,1,0,0,9,3,4,2,2,0,NA,4,5,2,4,2,2,2,3,3,3,3,3,2,2,47742,95484,46452,121290,58710,56129,63226,116774,41935,3,2,2,4,3,3,4,5,3,70,5,1,"2,8",1,2,NA,NA,"",NA,NA,"",NA,0,"1",29,0,3,3,3,3,3,3,4,3,4,3,3,3,2,3,2,3,2,3,4,2,4,5,2,5,5,2,2,2,2,3,6
"271",1,5,1,71,1,2,1,0,0,30,4,3,3,3,0,4,1,2,4,4,4,2,4,1,2,4,4,4,4,4,19515,48880,9170,76389,60828,7809,66652,200000,78713,3,4,2,4,3,3,4,4,4,85,8,1,"5",1,1,2,1,"",1,1,"2,3",1,NA,"",20,0,3,3,3,3,5,4,6,6,5,1,6,6,6,5,4,4,4,4,4,4,2,6,7,6,6,5,2,2,7,5,1
"272",1,5,2,24,6,1,1,0,0,20,3,4,2,4,0,2,2,2,2,2,2,1,4,3,3,4,4,4,3,3,7571,25807,1590,8808,3731,3225,3998,4444,2276,3,4,2,4,3,3,3,3,3,20,2,1,"1,2",1,2,NA,NA,"",NA,NA,"",NA,0,"1,2,6,9",25,0,1,1,1,1,1,2,6,1,6,4,1,1,2,1,4,4,4,4,4,4,4,3,6,6,6,6,6,5,4,5,5
"273",1,5,1,20,4,3,1,0,1,62,3,3,3,3,0,4,1,3,2,3,4,4,4,2,4,4,4,5,5,4,21203,4585,9742,51576,19484,6877,52149,200000,36676,2,1,1,3,3,2,3,5,4,60,9,1,"5",1,1,2,NA,"",NA,NA,"1,2,3,4,5",1,NA,"",20,0,4,4,3,3,4,6,6,6,2,1,6,6,6,5,3,4,4,3,3,2,7,5,7,7,7,3,2,3,7,2,7
"274",1,5,1,64,6,3,1,0,0,8,3,3,2,2,0,3,3,2,2,4,4,2,3,2,2,2,4,5,4,4,19718,72676,9296,88169,78873,49014,72394,122535,97465,3,2,4,4,3,2,4,5,4,65,7,4,"8",1,2,NA,NA,"",NA,NA,"",NA,1,"",15,1,2,2,2,2,2,3,5,3,4,4,3,4,3,2,2,3,3,4,2,3,3,6,4,6,6,3,2,3,6,4,6
"275",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",1,5,2,18,4,3,1,0,0,8,1,4,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,176504,200000,82521,154728,119771,139255,158739,200000,116332,3,5,3,5,4,4,5,5,3,52,4,4,"8",3,2,NA,NA,"",NA,NA,"",NA,0,"1,2,4,5",43,0,1,1,1,1,1,4,3,1,5,2,3,1,2,4,2,4,3,3,1,3,5,6,4,5,5,5,5,4,6,2,1
"277",1,5,1,23,5,3,1,0,1,15,2,4,1,2,0,3,3,2,1,3,3,1,2,2,2,2,3,4,5,4,8387,101290,10323,15484,20645,4516,12903,40000,10968,2,2,3,2,3,3,3,5,3,70,4,1,"2",1,2,NA,NA,"",NA,NA,"",NA,1,"",25,1,4,1,4,4,3,4,6,5,2,3,4,5,5,5,2,2,2,2,2,1,7,6,5,6,7,5,5,5,5,4,1
"278",1,5,2,19,6,2,1,0,0,0,2,3,2,2,1,2,3,3,2,3,2,3,4,4,3,2,3,2,4,4,90323,172258,58065,135484,101935,140645,176774,128387,84516,4,4,2,3,3,4,2,3,2,45,3,2,"6",2,2,NA,NA,"",NA,NA,"",NA,0,"1",34,0,3,2,3,2,1,3,5,4,2,1,3,3,2,5,2,3,2,3,3,2,3,2,6,4,3,5,6,4,3,3,6
"279",1,5,2,22,2,5,1,0,0,20,3,4,4,4,0,2,1,4,2,2,2,3,4,2,3,4,4,4,4,3,57627,83390,35932,56949,21695,20339,33220,66150,15148,3,4,2,3,3,2,4,5,4,60,4,2,"8",1,2,NA,NA,"",NA,NA,"",NA,1,"",10,0,3,1,2,2,2,4,4,5,4,2,5,4,3,4,3,3,3,2,4,3,5,5,5,7,7,1,1,1,7,7,1
"280",1,5,2,18,1,2,1,0,1,80,3,4,3,5,0,3,3,4,3,3,4,2,1,4,4,4,4,5,4,4,63037,134097,94556,158166,57880,45845,159885,200000,60745,3,5,2,3,3,4,3,5,3,85,5,2,"1,4,2,5,7",1,1,3,1,"",1,1,"2,3,4,5",1,NA,"",60,1,5,3,5,5,5,4,4,5,2,1,5,5,2,2,2,3,4,4,4,2,5,4,2,5,5,3,2,3,6,6,2
"281",1,5,2,21,4,2,1,0,1,25,1,1,5,3,1,5,2,3,3,2,3,4,2,3,4,4,3,3,5,4,184633,200000,143729,200000,158418,98305,168814,200000,89492,1,2,2,2,3,3,2,2,2,30,4,1,"3",1,1,2,1,"",1,1,"2,3",1,NA,"",51,1,6,5,3,3,4,4,1,6,1,3,4,5,5,1,3,2,2,3,3,2,5,2,6,6,3,6,4,4,6,4,3
"282",1,5,2,22,2,1,1,0,0,39,2,3,2,3,0,2,4,3,1,2,1,1,2,3,2,2,2,2,3,3,14633,78073,2725,25068,58311,35967,82289,91553,38504,5,5,2,5,4,5,5,5,5,45,4,4,"2",3,1,2,1,"",3,2,"1",0,NA,"",12,0,1,1,3,3,3,3,4,3,3,2,2,2,2,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4
"283",1,5,1,68,6,2,1,0,0,80,5,4,5,5,0,5,1,3,5,5,5,3,5,1,3,5,5,5,5,5,7042,155211,7887,45915,12394,21690,51268,178592,58592,1,4,1,2,2,2,3,4,3,90,5,1,"5",1,2,NA,NA,"",NA,NA,"",NA,1,"",30,0,1,1,3,2,3,5,6,6,4,1,6,6,6,1,4,4,4,4,4,4,6,5,7,7,7,1,1,1,7,1,1
"284",1,5,1,20,1,2,1,0,1,73,2,3,3,2,0,3,3,2,3,3,4,3,4,3,3,4,4,5,3,3,116454,200000,131165,179800,200000,155005,200000,200000,104899,3,2,2,4,3,3,4,5,2,10,4,1,"1,2",1,1,2,1,"",1,1,"2,3",1,NA,"",29,1,5,4,4,5,4,5,5,5,3,2,5,5,5,3,2,2,2,3,3,2,6,5,3,7,7,2,5,3,6,1,2
"285",1,5,2,66,4,2,1,0,0,72,4,5,3,4,0,2,1,1,1,4,1,1,1,1,3,2,4,1,2,3,282,123099,10141,129859,167887,128169,169859,96620,84507,2,5,3,5,5,5,5,5,4,90,5,4,"1,2,5,6",1,2,NA,NA,"",NA,NA,"",NA,0,"1,2,4,5,6,9",49,0,4,1,1,2,2,1,6,1,2,2,1,2,1,2,4,4,3,4,4,4,4,7,7,4,4,7,7,7,4,7,4
"286",1,5,1,27,6,2,1,0,0,32,2,4,2,4,1,4,5,4,2,1,3,4,2,2,4,1,1,2,2,2,81935,140645,54839,110968,63871,132258,67097,41290,70323,4,5,3,4,4,4,4,4,3,20,5,2,"2",1,2,NA,NA,"",NA,NA,"",NA,0,"4",11,0,1,1,2,3,3,3,3,3,5,5,3,3,5,2,3,3,3,4,2,1,2,3,1,3,3,6,6,6,6,6,6
"287",1,5,2,20,2,2,1,0,0,6,3,3,3,4,0,2,2,3,2,2,2,1,2,2,3,2,2,2,4,3,64407,170847,74576,128621,112542,166102,154802,200000,49492,3,3,3,3,3,3,3,3,3,50,5,1,"1",1,2,NA,NA,"",NA,NA,"",NA,0,"1,3,5,9",25,0,2,1,3,2,3,2,4,4,4,3,2,2,3,3,2,4,3,4,2,3,4,6,4,5,5,4,3,4,5,5,4
