"","Finished","consent","gender","age","residence","education","smartphoneuse","COVID_pos","COVID_pos_others","COVID_probability_1","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_lost_job","COVID_info_source_1","COVID_info_source_2","COVID_info_source_3","COVID_info_source_4","COVID_info_source_5","COVID_info_source_6","COVID_info_source_7","COVID_info_trust_1","COVID_info_trust_2","COVID_info_trust_3","COVID_info_trust_4","COVID_info_trust_5","COVID_info_trust_6","Gov_understand","Gov_helpful","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_govresponse_1","COVID_govresponse_2","COVID_govresponse_3","COVID_govresponse_4","COVID_govresponse_5","COVID_govresponse_6","COVID_govresponse_7","COVID_govresponse_8","COVID_govresponse_9","COVID_comply_percent","COVID_comply_pers","RKI_technology","RKI_data_access","attention_check","RKI_download","RKI_download_time","RKI_left_installed","RKI_deinstalled","RKI_blutooth","RKI_upload","RKI_reasons","RKI_friends_family","RKI_future_download","RKI_reasons_not_down","RKI_prevalence_app_1","RKI_mandatory","reduce_lik_bt","return_activ_past","return_activ_fut","reduce_spread_past","reduce_spread_fut","ability_bt","decline_part_bt","proportionality_bt","sensitivity_bt","risk_of_harm_bt","trust_intentions_bt","trust_respectpriv_bt","data_security_bt","ongoing_control","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","sci_betterlives","sci_nextgenopp","Conspir_1","Conspir_2","Conspir_3","Conspir_4_REV","Conspir_5","Conspir_covid"
"157",1,5,1,20,6,2,1,0,0,0,3,3,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,3,5,2,24225,115493,71268,34930,27324,24225,33521,56056,46197,3,5,3,3,3,3,3,3,3,60,5,4,"8",1,2,NA,NA,"",NA,NA,"",NA,0,"1",30,0,1,1,1,2,1,4,6,1,6,3,2,2,3,3,4,4,4,4,4,4,4,7,6,6,6,4,5,4,4,4,4
"158",1,5,2,21,5,3,1,0,1,40,3,4,3,5,0,4,2,2,3,3,2,2,4,2,2,3,4,4,3,4,73548,62581,31613,69677,5161,6452,44516,127097,64516,3,3,2,3,2,2,3,5,4,30,4,1,"8",1,1,1,1,"",3,1,"2,3,4,5",1,NA,"",10,0,2,1,2,2,2,4,6,6,1,1,5,6,4,6,3,3,2,1,2,2,6,7,3,6,7,2,2,2,7,2,4
"159",1,5,2,20,1,3,1,0,0,27,2,4,3,5,0,3,2,2,3,5,5,2,3,2,2,4,5,5,5,5,115484,148387,132258,171613,123871,114194,172903,200000,161290,3,2,1,4,2,2,3,5,4,60,5,4,"1,2,5",1,2,NA,NA,"",NA,NA,"",NA,1,"",27,0,3,2,5,2,3,3,6,6,1,2,6,5,5,5,2,2,3,3,4,2,6,5,3,6,6,2,4,2,6,2,1
"160",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",1,5,1,67,5,1,1,0,0,12,4,4,3,4,0,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,160784,170980,102745,159216,163922,167843,185098,200000,131765,3,4,3,3,4,4,4,5,3,75,5,2,"1,2,5",3,2,NA,NA,"",NA,NA,"",NA,0,"9",74,0,3,1,3,3,3,5,4,3,4,3,3,3,4,2,3,3,3,3,3,2,3,3,6,5,5,6,4,6,5,6,6
"162",1,5,2,23,3,3,1,0,1,63,4,4,4,3,0,4,4,4,5,4,4,5,5,4,5,5,4,5,4,4,36129,52903,67742,136774,85161,50968,138065,200000,121290,4,5,1,3,2,4,3,4,2,35,8,1,"3",2,1,2,1,"",2,1,"3",1,NA,"",41,1,2,2,5,5,5,5,2,5,5,5,5,5,6,4,3,2,4,2,3,3,4,4,6,6,6,5,3,4,4,5,3
"163",1,5,2,22,2,3,1,1,1,NA,NA,4,NA,4,1,3,5,5,4,5,3,2,2,3,4,4,5,5,3,3,226,95367,14689,35254,73220,115480,63503,134463,89718,1,3,3,4,4,4,3,5,NA,20,2,3,"3",2,2,NA,NA,"",NA,NA,"",NA,0,"3,5,7",35,1,2,5,4,3,4,3,2,5,5,3,4,5,5,3,3,2,3,4,1,2,5,3,2,7,5,6,5,4,6,6,5
"164",1,5,1,27,2,5,1,1,0,NA,NA,4,NA,4,1,2,2,3,4,5,3,3,1,3,3,2,3,3,1,3,105161,149677,30968,77419,95484,45161,167742,100645,52903,1,2,3,3,2,3,3,NA,NA,50,1,1,"4",1,1,1,1,"",1,2,"1",0,NA,"",53,1,1,3,1,2,3,2,3,3,3,2,5,2,1,5,1,1,2,3,2,1,3,4,6,5,3,5,6,4,3,5,5
"165",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",1,5,2,28,5,5,1,0,0,30,3,4,3,5,0,4,1,4,4,4,2,1,4,1,2,4,5,5,4,4,8598,43729,21356,45424,4576,17119,45784,100678,19153,2,3,2,4,2,3,3,NA,3,40,5,2,"1,2",1,2,NA,NA,"",NA,NA,"",NA,0,"4",33,1,4,1,4,3,3,6,6,5,2,1,6,5,4,4,2,3,2,2,1,1,1,6,6,7,6,5,5,5,7,3,1
"167",1,5,2,24,2,3,1,0,0,60,3,3,3,4,0,4,2,3,4,4,5,2,4,2,4,4,4,5,3,3,220,116893,15452,67270,31042,31261,89667,133141,58371,2,5,2,4,2,4,4,5,3,40,5,1,"5",1,1,1,1,"",1,1,"1,2,3,4,5",1,NA,"",19,0,3,3,4,3,4,6,5,6,1,2,6,5,5,5,3,4,2,2,1,3,4,6,1,6,6,1,1,1,7,1,5
"168",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
